id;identificacao;origem;mensagem
1;Villages uniform PCI;MONITORAMENTO_SENSORES;Wisconsin Facilitator Incredible
2;reinvent;MONITORAMENTO_SENSORES;Configuration UIC-Franc
3;Ergonomic Concrete Soap Zambian Kwacha;MONITORAMENTO_SENSORES;portal calculating Metal
4;real-time discrete redundant;MONITORAMENTO_SENSORES;Borders
5;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;MONITORAMENTO_SENSORES;interfaces
6;Garden Dale Wallis and Futuna;MONITORAMENTO_SENSORES;Computers Small Fresh Gloves back-end
7;interface;MONITORAMENTO_SENSORES;backing up
8;Iran;MONITORAMENTO_SENSORES;Strategist
9;card Licensed Cotton Ball;MONITORAMENTO_SENSORES;Chips
10;navigating;MONITORAMENTO_SENSORES;Benin
